population;indiID;IndiID;IndiID;totflowers;INTcor;Ieffic;Iattrac;IattracCorr;Iacces;IaccesCorr;longcor;longpet;anchopet;stylelength;antherslength;tubewidth;Nflores;Nfrutosiniciados;Nfrutosfinales;semillasporfruto;fruitset;seedsflo;styleexertion;herkoRela
B;B1;B1;B1;9;0.0068021;0.470701718;3.011481876;-3.011481876;1.279924808;-1.279924808;17.59;5.224705882;4.211176471;18.02882353;15.55529412;1.485;141;69;1;1;0.007092199;0.007092199;0.438823529;-2.473529412
B;B10;B10;B10;6.666666667;1.570569543;-0.307613709;-0.689412336;0.689412336;-0.002103048;0.002103048;27.07125;9.69;8.63375;28.60375;23.63875;1.95625;16;15;0;NA;0;0;1.5325;-4.965
B;B12;B12;B12;36.85714286;2.020606802;-0.296652183;-0.886276207;0.886276207;-0.016355821;0.016355821;29.48;10.2565;8.392;29.257;22.676;1.983;82;46;2;0.25;0.024390244;0.006097561;-0.223;-6.581
B;B16;B16;B16;1022.666667;0.812864089;-0.251731864;-2.532677322;2.532677322;-0.456594521;0.456594521;30.467;13.0495;9.3485;34.145;31.1685;2.193;48;47;0;NA;0;0;3.678;-2.9765
B;B2;B2;B2;9;2.374958406;0.246387523;0.949840976;-0.949840976;0.639014735;-0.639014735;19.97235294;7.235294118;6.818823529;23.79411765;24.93911765;1.700588235;110;98;3;0;0.027272727;0;3.821764706;1.145
B;B29;B29;;;NA;-0.369801137;0.792355544;-0.792355544;0.524620881;-0.524620881;17.99;9.22;6.93;22.3825;25.3975;1.4975;5;5;1;NA;0.2;0;4.3925;3.015
B;B32;B32;B32;4;0.547793484;0.354261352;0.905522182;-0.905522182;0.084443347;-0.084443347;23.528125;7.835;6.52125;24.720625;21.23875;2.484375;42;39;7;0;0.166666667;0;1.1925;-3.481875
B;B35;B35;B35;64;0.7040985;-2.417153831;4.991668288;-4.991668288;0.039388119;-0.039388119;6.57;6.607;6.401;5.524285714;1.205714285;1.8685;81;0;1;0.5;0.012345679;0.00617284;-1.045714286;-4.318571429
B;B36;B36;B36;20;2.055424632;1.620978566;3.923973285;-3.923973285;-4.186057964;4.186057964;13.36111111;5.927222222;5.525555556;15.91666667;14.93388889;8.767222222;60;13;3;0.5;0.05;0.025;2.555555556;-0.982777778
B;B43;B43;B43;45.42857143;1.164955004;-0.118164293;-1.575412631;1.575412631;-0.478482252;0.478482252;28.039;10.0465;9.8575;31.522;28.132;2.4195;150;128;5;0;0.033333333;0;3.483;-3.39
B;B44;B44;;;NA;-0.152003774;-0.910215913;0.910215913;0.089378801;-0.089378801;26.005;10.29;8.3625;28.85;27.5025;1.86;6;6;0;NA;0;0;2.845;-1.3475
