population;indiID;IndiID;IndiID;totflowers;INTcor;Ieffic;Iattrac;IattracCorr;Iacces;IaccesCorr;longcor;longpet;anchopet;stylelength;antherslength;tubewidth;Nflores;Nfrutosiniciados;Nfrutosfinales;semillasporfruto;fruitset;seedsflo;styleexertion;herkoRela
E;E1;E1;E1;74;0.34111007;-2.26980725;0.573882365;-0.573882365;-0.65873299;0.65873299;29.3105;12.998;10.455;35.607;34.516;2.5765;64;49;17;0.6;0.265625;0.159375;6.2965;-1.091
E;E13;E13;E13;64;1.182226571;-0.733103745;-0.820377188;0.820377188;-1.005874189;1.005874189;24.965;12.8935;9.1345;34.749;37.693;2.1065;52;24;2;1;0.038461538;0.038461538;9.784;2.944
E;E14;E14;E14;12;0.679824667;0.435729478;1.111480288;-1.111480288;0.248307352;-0.248307352;27.45583333;11.73916667;9.214166667;31.19666666;27.495;2.189166667;30;11;13;1.6;0.433333333;0.693333333;3.740833333;-3.701666667
E;E15;E15;E15;24;1.176490396;0.22276341;0.39287531;-0.39287531;0.569042364;-0.569042364;29.8975;10.975;8.578;32.1285;29.331;2.3125;48;33;5;2.25;0.104166667;0.234375;2.231;-2.7975
E;E2;E2;E2;66;2.43761716;-0.909846882;-0.41637308;0.41637308;-1.168208392;1.168208392;26.244;11.025;9.489;33.967;36.7935;2.455;73;41;6;3;0.082191781;0.246575342;7.723;2.8265
E;E20;E20;E20;185.3333333;1.723224923;4.570495384;-0.35336104;0.35336104;-0.299902217;0.299902217;19.0705;8.5075;6.74;25.638;27.792;1.5895;65;39;12;1.571428571;0.184615385;0.29010989;6.5675;2.154
E;E21;E21;E21;79.5;1.717744608;-0.921020973;-1.955942443;1.955942443;-0.393070446;0.393070446;29.964;10.338;8.5545;36.7715;39.677;2.2865;63;27;9;1.333333333;0.142857143;0.19047619;6.8075;2.9055
E;E22;E22;E22;30.25;0.67879208;-1.893034451;-0.313929627;0.313929627;1.045722872;-1.045722872;35.009;12.721;9.0785;37.326;33.12;2.397;69;17;13;1.75;0.188405797;0.329710145;2.317;-4.206
E;E23;E23;E23;60;1.0311762;0.727305827;0.206805379;-0.206805379;-0.098011023;0.098011023;26.2515;10.9185;8.82;31.8195;30.418;2.1115;46;37;4;1;0.086956522;0.086956522;5.568;-1.4015
E;E24;E24;E24;51.75;0.569873164;-1.05282229;0.692052456;-0.692052456;0.596793028;-0.596793028;32.31;11.714;8.9775;33.184;30.248;2.623;66;44;7;0.75;0.106060606;0.079545455;0.874;-2.936
E;E25;E25;E25;72.75;2.552646713;-0.406413628;0.459230143;-0.459230143;1.169679259;-1.169679259;32.711;12.1015;8.424;33.098;28.9825;2.36;53;22;0;NA;0;0;0.387;-4.1155
E;E29;E29;E29;109.75;1.737551215;-0.264133499;1.310202094;-1.310202094;1.415461524;-1.415461524;32.7575;13.1595;8.709;31.6065;26.122;2.2885;82;15;0;NA;0;0;-1.151;-5.4845
E;E30;E30;E30;57.33333333;1.744845062;-1.996202453;0.677962141;-0.677962141;-2.132433249;2.132433249;24.1935;12.8355;11.0155;33.2625;37.4125;2.586;77;63;29;1.4;0.376623377;0.527272727;9.069;4.55
E;E31;E31;E31;13.33333333;1.724648703;2.349591179;0.428281564;-0.428281564;0.129513939;-0.129513939;24.96736842;9.502631579;7.795263158;27.88736842;27.58157895;2.078421053;63;58;6;0.333333333;0.095238095;0.031746032;2.92;-0.305789474
E;E32;E32;E32;429.8;2.54511702;0.087096903;0.128192712;-0.128192712;-1.51714873;1.51714873;23.4935;10.8535;9.9845;31.5945;34.7645;2.1875;60;32;3;1.666666667;0.05;0.083333333;8.101;3.17
E;E37;E37;E37;14.5;2.648768207;0.683717906;-0.486171364;0.486171364;1.256357712;-1.256357712;32.3025;10.456;7.835;32.986;30.021;2.0995;81;61;10;1;0.12345679;0.12345679;0.6835;-2.965
E;E38;E38;E38;81.75;2.007212898;-6.945785385;0.34739465;-0.34739465;0.274536619;-0.274536619;40.732;16.73;12.3905;44.59729412;39.42729412;2.9315;95;51;6;2;0.063157895;0.126315789;3.865294118;-5.17
E;E39;E39;E39;95;0.928984416;2.241138698;-0.305334479;0.305334479;-0.150687494;0.150687494;24.143;10.313;8.065;29.4005;30.6315;1.761;68;51;10;0.692307692;0.147058824;0.101809955;5.2575;1.231
E;E4;E4;E4;1168;1.137186248;-0.267251876;-0.048473105;0.048473105;0.008162452;-0.008162452;29.8555;10.496;9.44;33.715;32.25131579;2.249;89;0;0;NA;0;0;3.8595;-1.3905
E;E40;E40;E40;13.33333333;3.319018382;1.09157613;-0.665559221;0.665559221;-0.658322363;0.658322363;25.972;8.912;9.027;31.922;33.674;2.036;29;20;5;2.2;0.172413793;0.379310345;5.95;1.752
E;E42;E42;E42;16;3.13618311;-0.848131783;2.073743187;-2.073743187;-1.123938357;1.123938357;25.33090909;13.21272727;11.36181818;30.71909091;29.70909091;2.275454545;48;46;10;0;0.208333333;0;5.388181818;-1.01
E;E44;E44;E44;46;0.766772118;1.340308239;-0.2823822;0.2823822;-0.274879909;0.274879909;25.7205;9.6155;8.567;31.177;31.4585;2.0405;36;10;0;NA;0;0;5.4565;0.2815
E;E45;E45;E45;86;1.07773275;-0.801806094;-0.965910607;0.965910607;-0.355488538;0.355488538;27.527;12.1815;8.324;35.0535;36.718;2.333;88;55;2;1.75;0.022727273;0.039772727;7.5265;1.6645
E;E46;E46;E46;85.75;0.502048324;0.590697854;-0.263892727;0.263892727;1.358272108;-1.358272108;32.327;10.9445;8.1075;33.395;29.1325;2.029;72;52;0;1;0;0;1.068;-4.2625
E;E47;E47;E47;23.5;1.494680496;0.563192598;0.179096778;-0.179096778;-0.516305104;0.516305104;25.47875;11.198125;9.076875;31.30125;31.971875;2.113125;54;41;20;1;0.37037037;0.37037037;5.8225;0.670625
