population;indiID;IndiID;totflowers;INTcor;Ieffic;Iattrac;IattracCorr;Iacces;IaccesCorr;longcor;longpet;anchopet;stylelength;antherslength;tubewidth;Nflores;Nfrutosiniciados;Nfrutosfinales;semillasporfruto;fruitset;seedsflo;styleexertion;herkoRela
ST;ST1;ST1;75.66666667;0.846905511;-2.373526458;-4.652849419;4.652849419;0.83119267;-0.83119267;30.4765;12.783;11.1115;31.575;25.7755;3.964;54;40;0;NA;0;0;1.0985;-5.7995
ST;ST10;ST10;220;1.008440901;0.706314421;-1.1162836;1.1162836;-0.518893266;0.518893266;24.073;9.505;9.303;30.2165;30.7405;2.3235;47;1;0;NA;0;0;6.1435;0.524
ST;ST12;ST12;12.5;3.256036416;-2.793994214;-0.750068151;0.750068151;-0.918722325;0.918722325;30.247;12.6755;11.256;35.739;37.0135;2.4265;117;13;0;1;0;0;5.492;1.2745
ST;ST13;ST13;30.33333333;2.966234415;3.894787973;-2.580952896;2.580952896;-1.593344199;1.593344199;12.7145;9.184;9.3235;21.2535;25.16;2.0465;55;16;0;NA;0;0;8.539;3.9065
ST;ST15;ST15;335;1.300512502;-1.288143955;0.871498416;-0.871498416;-0.344433891;0.344433891;27.977;13.0945;8.7255;34.7775;36.217;1.851;35;0;0;NA;0;0;6.8005;1.4395
ST;ST17;ST17;70.66666667;1.73945226;-2.122059739;0.833894006;-0.833894006;-0.581980081;0.581980081;29.9765;12.544;9.0655;36.5525;38.9445;2.1575;46;6;1;1.333333333;0.02173913;0.028985507;6.576;2.392
ST;ST18;ST18;147;0.712533198;-2.947287211;0.144083668;-0.144083668;-0.242342142;0.242342142;31.6605;14.2685;10.2815;36.4485;36.6145;2.108;73;45;8;0.875;0.109589041;0.095890411;4.788;0.166
ST;ST18bis;ST18bis;27.5;1.746258267;1.915056917;1.001160861;-1.001160861;-0.469500379;0.469500379;23.2035;8.2745;6.7255;30.5605;34.19;1.9045;75;1;0;NA;0;0;7.357;3.6295
ST;ST19;ST19;152;1.324990359;2.531080188;-0.838396041;0.838396041;0.231266521;-0.231266521;22.4725;9.469;8.187;25.966;25.993;1.8;78;77;5;1;0.064102564;0.064102564;3.4935;0.027
ST;ST21;ST21;21.33333333;1.355213933;-2.084168216;0.558351933;-0.558351933;-0.525092445;0.525092445;29.361;12.5095;8.944;36.7415;38.3055;2.3195;58;20;0;NA;0;0;7.3805;1.564
ST;ST22;ST22;232.6666667;0.69554049;-0.250673547;0.076596287;-0.076596287;2.375533819;-2.375533819;31.4295;11.1855;7.9695;36.47;24.3265;1.948;83;59;9;0.583333333;0.108433735;0.063253012;5.0405;2.1125
ST;ST23;ST23;144;1.107564989;-0.830298658;0.237123231;-0.237123231;-0.979318977;0.979318977;26.714;10.276;9.0295;34.599;37.487;2.31;52;44;6;NA;0.115384615;0.135;7.885;2.888
ST;ST24;ST24;16;1.861920793;-2.900439961;-0.181926001;0.181926001;-0.064838299;0.064838299;32.64083333;12.56666667;9.59;37.2675;37.28;2.675833333;29;17;5;1;0.172413793;0.172413793;4.626666667;0.0125
ST;ST25;ST25;192.6666667;0.999297622;-1.625245546;1.836340351;-1.836340351;0.118131843;-0.118131843;31.7995;11.1895;7.9705;38.1385;38.4105;1.9315;42;36;3;1.666666667;0.071428571;0.119047619;6.339;0.272
ST;ST26;ST26;121.3333333;2.40593393;-0.172814846;-0.112667406;0.112667406;-0.179498822;0.179498822;27.2675;9.9735;8.3085;33.05916667;34.03638889;2.4125;53;51;12;0.058823529;0.226415094;0.013318535;5.791666667;0.977222222
ST;ST27;ST27;11.33333333;1.979187559;1.770196072;0.917138048;-0.917138048;-0.476795845;0.476795845;22.04277778;10.09722222;6.927222222;29.85777778;33.22;1.713333333;135;101;7;0.666666667;0.051851852;0.034567901;7.815;3.362222222
ST;ST3;ST3;12;1.346947154;-1.923345502;0.826305323;-0.826305323;0.217388804;-0.217388804;31.2745;12.476;8.4495;36.825;36.4645;2.1985;54;45;4;0;0.074074074;0;5.5505;-0.3605
ST;ST30;ST30;4;1.476189286;0.746608037;0.854251143;-0.854251143;0.194674235;-0.194674235;26.9785;9.8335;7.3935;32.0385;33.043;1.8855;54;22;5;1;0.092592593;0.092592593;5.06;1.0045
ST;ST31;ST31;19.5;2.045442807;-0.065031102;0.023290853;-0.023290853;0.401753591;-0.401753591;26.406;13.1845;8.0865;31.1615;30.724;1.9195;84;29;7;NA;0.083333333;0.0975;4.7555;-0.4375
ST;ST32;ST32;9.25;1.007987003;-2.084234498;-0.93489103;0.93489103;0.665380101;-0.665380101;31.405;13.61;10.178;34.51;30.5228;2.295;61;16;2;1;0.032786885;0.032786885;3.105;-3.9872
ST;ST35;ST35;143.2;1.751081359;0.799339645;0.335946045;-0.335946045;0.30446818;-0.30446818;27.15619048;9.978571429;8.134761905;30.97919048;31.00519048;1.817142857;92;56;2;1.6;0.02173913;0.034782609;3.823;0.026
ST;ST36;ST36;206.5;1.315721789;-0.362868101;0.072832976;-0.072832976;0.556263206;-0.556263206;29.274;11.06421053;8.169;33.0735;31.9685;2.2025;129;76;4;1.714285714;0.031007752;0.053156146;3.7995;-1.105
ST;ST37;ST37;6.666666667;1.641418652;0.057192416;0.218392648;-0.218392648;-0.187497978;0.187497978;26.32307692;11.00076923;8.576153846;32.28034965;32.97307692;1.946923077;34;18;4;1.333333333;0.117647059;0.156862745;5.957272727;0.692727273
ST;ST38;ST38;40;2.359708997;1.388003548;0.849097873;-0.849097873;0.896229176;-0.896229176;26.937;10.1855;7.1095;30.846;29.2225;1.6045;64;40;0;NA;0;0;3.909;-1.6235
ST;ST4;ST4;206.5;2.883276421;-0.540950775;0.107502496;-0.107502496;-0.664975908;0.664975908;27.388;10.2685;9.201;33.327;35.609;2.1555;84;67;4;0;0.047619048;0;5.939;2.282
ST;ST40;ST40;11;0.685219567;-1.91040227;-0.235938486;0.235938486;-0.066400792;0.066400792;30.7065;11.97;10.1285;35.599;34.215;2.2085;60;22;4;2.818181818;0.066666667;0.187878788;4.8925;-1.384
ST;ST40bis;ST40bis;4.666666667;2.501912607;1.845713311;-0.293626371;0.293626371;0.019708322;-0.019708322;24.16642857;8.602857143;8.183571429;28.99571428;29.19285714;1.924285714;50;23;0;NA;0;0;4.829285714;0.197142857
ST;ST41;ST41;151;0.909703334;1.903772395;-0.758711696;0.758711696;-0.157745621;0.157745621;22.9795;8.808;8.294;28.238;28.8635;2.094;74;51;20;1.407407407;0.27027027;0.38038038;5.2585;0.6255
ST;ST42;ST42;90.66666667;1.341358568;1.233615243;1.153591817;-1.153591817;-0.811001414;0.811001414;23.129;9.8615;7.723;31.1595;34.984;1.5865;103;72;59;2.363636364;0.572815534;1.353927626;8.0305;3.8245
ST;ST44;ST44;15.33333333;0.848245805;0.597647931;1.29199189;-1.29199189;-0.231818092;0.231818092;26.5355;9.68;7.586;32.9355;35.0595;1.739;44;23;9;2.857142857;0.204545455;0.584415584;6.4;2.124
ST;ST47;ST47;9.333333333;1.902556079;2.571169391;-0.463132567;0.463132567;-0.307490103;0.307490103;21.19842105;7.913684211;6.962631579;27.86578947;30.25263158;2.311578947;49;9;1;NA;0.020408163;0.023877551;6.667368421;2.386842105
ST;ST50;ST50;117.4;2.337824852;2.37710116;0.458209758;-0.458209758;1.498911586;-1.498911586;27.8235;8.445;6.7395;28.693;26.078;1.674;64;51;0;1.636363636;0;0;0.8695;-2.615
ST;ST53;ST53;9;2.210179163;1.937885952;0.251844045;-0.251844045;1.010788523;-1.010788523;25.89611111;9.556111111;6.532222222;29.22277778;28.05333333;1.958888889;59;10;0;NA;0;0;3.326666667;-1.169444444
