population	plantID	Inflo	infloID	Numfl	posicionestig	Longestigma	styleexertion	herkoAbsol	posicionestilo	herkoRela	longcor	anchcor	longP	anchP
E	E38	RJ	E38RJ	20	E	4.64	4.64	NA	DE	NA	54.99	2.85	17.34	12.99
E	E38	RJ	E38RJ		E	4.13	4.13	NA	DE	NA	57.2	2.27	17.57	13.68
E	E38	RJ	E38RJ		E	4.36	4.36	NA	DE	NA	31.32	2.16	16.59	11.43
E	E38	AZ	E38AZ	18	E	4.1	4.1	NA	DE	NA	42.14	2.99	16.5	13.57
E	E38	AZ	E38AZ		E	5.55	5.55	NA	DE	NA	32.98	2.61	14.28	11.25
E	E32	AZ	E32AZ	18	E	9.51	9.51	3.17	EE	3.17	29.07	2.61	14.81	9.85
E	E32	AZ	E32AZ		E	8.77	8.77	3.17	EE	3.17	25.89	2.07	13.74	9.86
E	E32	AZ	E32AZ		E	8.76	8.76	3.17	EE	3.17	28.12	2.63	12.19	9.82
E	E32	AZ	E32AZ		E	10.04	10.04	3.17	EE	3.17	26.63	2.33	12.05	13.15
E	E32	AM	E32AM	12	E	7.31	7.31	3.17	EE	3.17	17.09	1.73	7.78	10.44
E	E32	AM	E32AM		E	6.58	6.58	3.17	EE	3.17	13.89	0.97	7.12	7.28
E	E32	AM	E32AM		E	7.93	7.93	3.17	EE	3.17	15.09	1.9	8	7.91
E	E32	AM	E32AM		E	6.72	6.72	3.17	EE	3.17	17.33	2	8.15	11.33
E	E32	RJ	E32RJ	6	E	7.57	7.57	3.17	EE	3.17	20.59	2.31	10.29	9.82
E	E32	RJ	E32RJ		E	10.11	10.11	3.17	EE	3.17	26.31	3.29	11.98	10.61
E	E32	RJ	E32RJ		E	8.43	8.43	3.17	EE	3.17	21.4	2.7	11.95	11.62
E	E32	RJ	E32RJ		E	7.18	7.18	3.17	EE	3.17	23.6	2.26	11.99	9.29
E	E32	AZ-RJ	E32AZ-RJ	12	E	8.22	8.22	3.17	EE	3.17	25.73	2.22	10.17	10.01
E	E32	AZ-RJ	E32AZ-RJ		E	8.09	8.09	3.17	EE	3.17	27.84	2.05	10.55	7.86
E	E32	AZ-RJ	E32AZ-RJ		E	6.25	6.25	3.17	EE	3.17	25.63	2.43	10.69	8.95
E	E32	AZ-RJ	E32AZ-RJ		E	8.62	8.62	3.17	EE	3.17	20.19	1.33	8.87	7.46
E	E32	AM-RJ	E32AM-RJ	12	E	7.49	7.49	3.17	EE	3.17	25.82	1.87	11.85	12.33
E	E32	AM-RJ	E32AM-RJ		E	8.83	8.83	3.17	EE	3.17	26.6	2.16	11.04	12.09
E	E32	AM-RJ	E32AM-RJ		E	7.69	7.69	3.17	EE	3.17	25.1	3.3	11.85	10.95
E	E32	AM-RJ	E32AM-RJ		E	7.92	7.92	3.17	EE	3.17	27.95	1.59	12	9.06
E	E30	RJ	E30RJ	18	E	8.9	8.9	4.55	EE	4.55	22.98	2.73	13.28	10.84
E	E30	RJ	E30RJ		E	9.94	9.94	4.55	EE	4.55	24.78	2.72	12.68	10.14
E	E30	RJ	E30RJ		E	9.53	9.53	4.55	EE	4.55	24.07	2.4	11.19	10.16
E	E30	RJ	E30RJ		E	10.16	10.16	4.55	EE	4.55	22.92	2.76	10.8	10.4
E	E30	AZ	E30AZ	12	E	9.51	9.51	4.55	EE	4.55	25.04	2.08	12.78	12
E	E30	AZ	E30AZ		E	9.57	9.57	4.55	EE	4.55	25.6	2.07	12.38	13.86
E	E30	AZ	E30AZ		E	9.36	9.36	4.55	EE	4.55	26.38	2.89	14.53	10.29
E	E30	AZ	E30AZ		E	9.7	9.7	4.55	EE	4.55	26.4	2.79	13.59	11.46
E	E30	AM	E30AM	17	E	8.44	8.44	4.55	EE	4.55	25.27	2.49	13.59	12.36
E	E30	AM	E30AM		E	7.96	7.96	4.55	EE	4.55	26.03	2.63	12.8	13.11
E	E30	AM	E30AM		E	6.04	6.04	4.55	EE	4.55	25.32	2.67	13.27	13.23
E	E30	AM	E30AM		E	8.63	8.63	4.55	EE	4.55	25.7	2.28	13.56	12.03
E	E6	RJ	E6RJ	6	AP	0	0	NA	DE	NA	34.59	2.19	14.78	9.56
E	E6	RJ	E6RJ		D	1.5	-1.5	NA	DE	NA	35.56	2.1	10.73	8.21
E	E6	RJ	E6RJ		AP	0	0	NA	DE	NA	34.88	2.17	12.6	8.84
E	E6	RJ	E6RJ		D	2	-2	NA	DE	NA	34.6	2.4	12.05	8.99
E	E6	AZ	E6AZ	7	AP	0	0	NA	DE	NA	33.02	2.08	13.29	9.09
